First 10 lines
	
  !"L5R;	 000000000000000000000001A68EC8A8  AAAA0000BBBBDDDD4444AAAAFFFF1111DDDD2222DDDD33339999
   
  %YzxO 	 000000000000000000000000C7426E55  EEEE7777FFFFCCCC4444FFFF2222EEEE44440000AAAA33332222
   
  '%!%6c	 000000000000000000000000CC2D1598  AAAAFFFF0000DDDD1111AAAAAAAA9999EEEE5555000088889999
   
  ,:CB",	 000000000000000000000001A64056F2  6666CCCC555588886666EEEE6666777777773333FFFFAAAAFFFF
    
  0*vYm3	 00000000000000000000000026D61578  DDDD7777AAAAEEEEEEEE6666AAAA2222CCCC5555555522229999
   
  0ipo1t         000000000000000000000000D1C7818F  7777AAAADDDDCCCC9999BBBB00000000FFFFDDDD888877770000
   
  0pK;\g	 000000000000000000000000AC805909  555555558888EEEE99996666AAAAEEEE8888CCCC0000FFFFEEEE
  
  1Cl!7c         000000000000000000000001FA4FAFC5  7777EEEE7777AAAA8888BBBB66660000FFFF2222BBBB44442222
  
  1F*s?t         000000000000000000000000696DBAB7  6666CCCC44441111EEEEEEEEDDDD4444DDDD55559999CCCC8888
   
  5;>25v	 000000000000000000000000590304A7  666600000000AAAAEEEEDDDD1111333355552222BBBBDDDD8888
   
  ;gRAQi	 0000000000000000000000022CE75CF0  EEEEEEEE6666AAAA1111EEEECCCC333377776666555555551111
   
  <*slt4	 000000000000000000000001456AAC24  1111BBBB11115555FFFFBBBBAAAA555511113333EEEEEEEEDDDD
    
 ?V|y<?	         0000000000000000000000011ED66189  22229999888822222222AAAA3333EEEEAAAA7777CCCC7777EEEE
   
  A\_t'^	 000000000000000000000000B4F79281  EEEECCCCCCCC99995555888833330000666666667777CCCC6666



Last 10 lines

~~~~c+I&cP	 000000000000000000000000074BDF64  8888000055550000DDDD22227777AAAA000033332222AAAADDDD

~~~~d3'|tv	 000000000000000000000001435839BA  8888DDDDDDDD777733337777CCCCBBBBDDDD2222EEEE88887777

~~~~dh03(+	 000000000000000000000000CBFC1018  BBBB77779999BBBB3333DDDDBBBBAAAA5555BBBBCCCC00009999

~~~~eoEU(\	 00000000000000000000000241541F5D  BBBB99998888DDDD999999991111000000004444FFFF6666AAAA

~~~~g\iGEP	 00000000000000000000000217BEA954  CCCC00004444444477778888DDDDCCCC000033331111FFFFDDDD

~~~~i%.}]d	 000000000000000000000001D83DF1A3  3333FFFF1111FFFF3333EEEE111177773333EEEEAAAA7777CCCC

~~~~iWMdHm	 00000000000000000000000173AC3092  4444BBBB3333EEEE55556666BBBB22229999DDDD44448888FFFF

~~~~l6W?R>	 0000000000000000000000016A1CE919  BBBB44442222DDDDAAAA9999FFFF77772222AAAA33336666EEEE

~~~~up/_X/	 000000000000000000000001754F0878  111177778888DDDD77771111CCCC0000FFFF7777666622229999

~~~~v*}X|/	 000000000000000000000001636B5B57  BBBB333377778888AAAA11113333666644443333DDDD22228888

~~~~xJ%"#J	 000000000000000000000001410CC6EC  222266660000CCCCEEEE5555EEEE11117777AAAA444400005555

~~~~xzp!bu	 00000000000000000000000064D279DE  99999999CCCC5555FFFF2222BBBBCCCC99998888BBBB11113333

~~~~zu;TV\	 0000000000000000000000023F9AC57A  8888000022225555CCCC3333CCCCDDDD222288889999CCCC7777

~~~~~FkSlb	 00000000000000000000000229933CAB  22226666AAAA44447777CCCC4444BBBB88884444444477774444




